Observation,StateDate,Meal
42, 28 September 2005,"Fresh chef’s salad with ranch dressing, mashed potatoes with butter, porterhouse steak (medium well), 4-1 steak sauce, Worcestershire sauce, lemon meringue pie, 1 quart buttermilk."
43, 28 October 2008,No final meal request.
44, 28 May 2004,"Bacon, lettuce and tomato sandwich."
45, 28 March 2001,Requested that final meal not be revealed to the public.
46, 28 June 2006,"One piece of fried chicken, one BLT sandwich, two enchiladas, ketchup, cinnamon roll and iced tea."
47, 28 January 2009,Ice water.
48, 28 August 2007,"2 guacamole tostadas, 2 tacos, 1 strawberry malt, 1 Dr. Pepper, 1 lemon meringue pie, 5 jalapenos, 1 lemon, 1 lime, 1 quart strawberry ice cream."
49, 28 August 2001,"2 eggs (over easy), 4 slices of bacon, coffee, 1 pint vanilla ice cream, 1 can of peaches, strawberry jam."
50, 28 April 1999,"Ate all of the special meal of two cheeseburgers with lettuce and mayonnaise and french fries with ketchup, and drank one Dr. Pepper and one Mountain Dew."
51, 27 September 2010,"3 fried eggs (sunny side up), 4 slices bacon, hash brown potatoes, 2 slices whole wheat toast, butter, 2 serving size boxes of Raisin Bran cereal, 2 cartons milk, 2 cups of Taster's Choice coffee."
52, 27 September 2005,"Green Chili burros, burritos with barbecued steak, French fries and ketchup, vanilla ice cream, cream soda, cigarette."
53, 27 September 2000,"Six fried eggs, cooked over-easy, 16 strips of bacon, one large portion of hash-browns, one pint of pineapple sherbet ice cream, one “breakfast steak” well done, one 16-ounce cup filled with ice, one 7-Up, 1 Dr. Pepper, 1 Coke, one portion of hot sauce, one cup of coffee, two packets of sugar and four Rolaid tablets."
54, 27 October 2011,"3 cheeseburgers, chili, French fries, milkshake, pickles."
55, 27 October 2009,"New York steak cooked medium rare, Worcestershire sauce, 2 eggs, 8 strips bacon, 2 slices bread toasted w/butter, 1⁄2 pint peppermint ice cream, 16 ounces apple juice."
56, 27 October 1999,"New York steak (cooked rare), 1 1⁄2 cups of sliced mushrooms, 2 eggs, 10 strips of bacon, 2 slices wheat toast w/butter, 3 tablespoons strawberry preserves, 8 ounces milk, 8 ounces apple juice, 32 ounce chocolate milkshake."
57, 27 May 2010,"6 Fried eggs (over easy), 4 strips of bacon (chewy), 2 slices of white bread toast (buttered),1 cup of real coffee 2 Classic Cokes (over ice)."
58, 27 May 2008,No final meal request.
59, 27 May 1994,"Two BLT cheeseburgers, two jalapeño cheeseburgers, fried okra, french fries with ketchup and mustard, brownies, chocolate and vanilla ice cream, and three root beers. "
60, 27 March 2001,Coke Classic and Camel.
61, 27 March 2001,"3 chicken breasts (fried), fresh lettuce, cucumber salad with light vinegar salad dressing on the side, and ice water."
62, 27 June 2006,No final meal request.
63, 27 January 2006,"2 bacon, lettuce and tomato sandwiches with cheese and mayonnaise (sic), 3 deep-fried chicken breasts, French fries with ketchup, pitcher of strawberry milkshake."
64, 27 January 2000,"10 ounce steak, peas, rolls with butter, 1 baked potato with shredded Cheddar cheese, strawberry pie with whipped cream, large chocolate malt."
65, 27 February 2007,"Porter House Steak (medium rare), 2 lbs of large shrimp and sauce, A-1 steak sauce, baked potato with sour cream, cole slaw, banana cream pie, rice pudding with raisins, 2 dinner rolls with butter, and a strawberry milkshake."
66, 27 April 2010,"3 Grilled Pork Chops with gravy, 1/4 lb. bacon, 6 fried breaded shrimp, beef Rice-a-Roni, 2-3 slices French Bread with butter, applesauce, 2 cans Canada Dry Ginger Ale with ice, 1 slice coconut cream pie, 1 pint orange juice, 1 can chicken noodle soup with crackers, 1 can pear halves with syrup, Maxwell House Coffee with cream and sugar."
67, 27 April 2006,"Several fried eggs, several strips of bacon, toast, butter, honey and orange juice."
68, 27 April 2000,"Had a last meal of buffalo steak, a bucket of KFC white-meat-only chicken, sugar-free pecan pie, sugar-free black walnut ice cream, Indian pan-fried bread and whole milk  (ice cream was left out one hour to thaw, and turned into a milkshake by hand)."
69, 26 October 2010, Ate only oatmeal.
70, 26 June 2007,No final meal request.
71, 26 June 2007,"Chicken leg quarters, french fries, American cheese, orange drink, coffee and chocolate pudding."
72, 26 June 2007,"Tea, broth, Gatorade."
73, 26 June 2006,"Alaskan King crab with butter, spinach salad, pork fried rice, Mandarin-style spare ribs, hot fudge sundae, a six-pack of Coca Cola."
74, 26 Jun 2001,"Fried pork chops, baked potato with butter, asparagus, salad with bleu cheese dressing, apple pie, whole milk."
75, 26 July 2007,"2 orders onion rings, 1 cheeseburger, bacon cheeseburger, 1 grilled chicken sandwich, and 1 medium cherry limeade. "
76, 26 July 2000,"Fish, asparagus, pie, Coca Cola."
77, 26 January 2012,"Well-done T-bone steak, rice, four rolls with butter and German chocolate cake."
78, 26 April 2006,Vanilla and chocolate ice cream.
79, 25 September 2008,"Fried catfish, white beans, hush puppies, Cole slaw, French fries, sweetened ice tea, and pecan pie."
80, 25 October 2006,"Steak, medium-well with A-1 sauce, salad with ranch dressing, cheddar cheese and bacon bits, baked potato with sour cream, two slices of apple pie, three large rolls, two cokes and one cup of coffee (steak is not an option in  prisons, ground beef served instead)."
81, 25 October 2006,"1 filet mignon steak (well done), 2 medium raw onions, sliced, 2 tomatoes, sliced, 6 rolls, 6 slices cheese, 1 banana, 2 7-up’s."
82, 25 October 2006,"Steak (medium rare), crab cake, corn on the cob, French fries, bread and butter, Pepsi."
83, 25 October 2001,"Requested two salami sandwiches on white bread, one peanut butter and jelly sandwich and coffee."
84, 25 May 2010,Large pepperoni pizza with sausage and extra mushrooms and a large grape soda. 
85, 25 May 2000,"Ordered peanut butter and banana cookies from the canteen with an ice tea, then added a chicken sandwich and substituted fruit punch. He finished the entire last meal."
86, 25 May 1999,"Jumbo fried shrimp, French fries, cole slaw, ketchup, lemonade, cheesecake."
87, 25 March 1999,"Fried chicken, banana split ice cream and some water (meal consumed using only the single spoon allowed by the state)."
88, 25 June 2008,No final meal request.
89, 25 June 1997,Not allowed a special meal. Declined the standard prison fare.
90, 25 June 1990,"Two dozen jumbo fried shrimp with tarter sauce and ketchup, two large orders of fried onion rings and french fries, one raw regular onion, six pieces of garlic bread, two cold 32 oz. Cokes, two 32 oz. strawberry milkshakes (same as his June 2006 final meal)."
91, 25 January 2011,"Bacon cheeseburger with jalapenos, french fries, two slices of apple pie with vanilla ice cream and sweetened iced tea."
92, 25 January 2006,"Hamburger, cup of coffee."
93, 25 January 2000,"New York steak, fried shrimp, French fries, green beans, steak sauce, Coca Cola, Heavenly Hash ice cream."
94, 25 January 1996,"T-bone steak, fried shrimp, fried potatoes, onion rings, fried tomatoes, ketchup, soy sauce, Heavenly Hash ice cream, Coca Cola."
95, 25 August 2000,"Fried chicken, French fries, corn on the cob, jalapeno peppers, mint chocolate chip ice cream and cherry limeade."
96, 25 April 2001,"Bbq turkey legs and bbq brisket, a bowl of cheddar cheese and avocados."
97, 24 October 2006,"Vanilla ice cream, Coke, 1 quart whole milk, BBQ chicken, BBQ beef, French fries, salad, Spanish rice, rolls, Pepsi, cherry vanilla ice cream, butter pecan ice cream, mango, banana pudding."
98, 24 October 2001,"Declined a special dinner and was served chili with rice, peas, a salad and chocolate cake."
99, 24 November 1999,Served fried chicken and watermelon (one of two executions on this date: age 15).
100, 24 May 2007,"Two chicken-fried steaks, one pound of barbecued meat, a triple-patty bacon cheeseburger, a meat-lover's pizza, three fajitas, an omelet, a bowl of okra, one pint of Blue Bell Ice Cream, some peanut-butter fudge with crushed peanuts and three root beers (after inmate didn’t eat any of this meal,  ends final meal request option)."
101, 24 May 2006,Requested that final meal not be revealed to the public.
102, 24 May 2000,"Two fried chicken breast, two pork chops, seven flour tortillas, avocados and french fries."
103, 24 July 2008 ,"Fried fish and shrimp, a baked potato, salad, boiled corn, ice cream, cheesecake and soda."
104, 24 July 2007,"From food available in the prison cafeteria, chose a turkey bologna sandwich with tomatoes and cheese, french fries, and an orange drink. Later, from a vending machine, got a Reese’s Cup, pretzels, and grape Sunkist drink."
105, 24 July 1991,"Italian dinner with spaghetti, meatball, ravioli, sausage, garlic bread and salad, strawberry cheesecake, and 7-Up."
106, 24 January 2002,"Did not make a final meal request, and was given the regular prison fare of baked fish, peas, cole slaw, carrots, cheese grits, bun, fruit juice and chocolate cake."
107, 24 January 2000,"Catfish, French fries, plums, grapes, strawberry shortcake, and Sprite Soda."
108, 24 January 1992,"Steak, baked potato, corn, salad, milkshake, ice cream."
109, 24 February 2000,"Beef fajita, blooming onion, fried chicken (white meat), jalapeno peppers, Caesar salad, bleu cheese dressing, bread rolls with butter, vanilla ice cream, 3 bananas, 1 Coke and a pot of coffee."
110, 24 February 1999,Made no last meal request.
111, 24 February 1998,"1 small pizza, 1 fried chicken breast, 1 slice of apple pie with ice cream, 2 soft drinks."
112, 24 August 2006,"Three whoppers with cheese, 2 extra crispy chicken breasts, large French fry, 2 slices whole wheat bread, 2 soft drinks, and a slice of navy bean pie."
113, 24 August 1993,"Bucket of KFC chicken, eight additional drumsticks and a chocolate milkshake."
114, 24 April 2007,"Fried Channel catfish, coleslaw, hushpuppies, French fries, catsup, tartar sauce, hot sauce, vanilla pudding, and sweet tea or coke."
115, 23 September 2010,"Strawberries, grapes, peaches, plums, and vanilla malt."
116, 23 September 2008,"Quart of strawberries, 2 bacon, lettuce and tomato sandwiches, a glass of milk."
117, 23 May 2007,Requested lasagna for last meal.
118, 23 May 2000,"Chose the prison's ""daily special"" of hot dogs, sauerkraut, baked beans, veggie sticks with ranch dressing, and gelatin with fruit--although the prison chef did add strawberry ice cream as a special treat."
119, 23 July 2008,"Prime rib, lobster, 2 pints of black walnut ice cream, rolls, 1/2 gallon milk, 2 liter bottle of Coca Cola."
120, 23 July 1947,No final meal request.
121, 23 July 1947,"Three pieces of fried chicken, spaghetti with meat sauce, potato salad, cherry pie with strawberry ice cream and a cola."
122, 23 January 2001,"Western omelet, fried potatoes, sliced tomato, pan sausage, 3 biscuits, white gravy, pitcher of vanilla milkshake, half a cantaloupe"
123, 23 January 1997,1 bag of assorted Jolly Ranchers.
124, 23 February 2000,"Prime rib with a ""loaded"" baked potato, pork chops with steak fries, two salads with ranch dressing and rolls. "
125, 23 February 2000,Pizza and birthday cake shared with 15 family members and friends. A prison official said “He told us he never had a birthday cake so we ordered a birthday cake for him.”
126, 23 February 1996,"Salmon, scalloped potatoes, peas, tossed salad, cake."
127, 23 August 2007,"Steak, fried chicken breast, baked potato, salad, garlic bread, a pint of butter pecan ice cream, half of a pecan pie and soda."
128, 23 August 2000,German ravioli and chicken dumplings prepared by his mother and prison dietary staff.
129, 23 August 1927,"Fried chicken legs and thighs, sirloin steak, corn on the cob, banana pudding, peach cobbler, chocolate chip ice cream, grape soda and milk."
130, 23 August 1927,"Ground beef pizza, french fries and apple pie."
131, 23 August 1927,Request to eat from a vending machine with family members.
132, 23 April 2004,Cheesecake.
133, 23 April 1997,"Fried sac-a-lait fish, topped with crawfish etouffee, a peanut butter and apple jelly sandwich and chocolate chip cookies."
134, 22 September 2011,"Boiled crawfish, crawfish stew, toasted French bread, garden salad with Italian dressing, banana nut oatmeal cookies, and whole milk with chocolate syrup."
135, 22 September 2009,"Snickers candy bars, Baby Ruth candy bars, Hershey candy bars, Chocolate ice cream, coconut pie, lemon pie, Cokes."
136, 22 September 2005,"Steak, mashed potatoes, green beans, collard greens, corn bread, banana pudding, cherry cheesecake, apple cobbler and sweet ice tea."
137, 22 October 2001,"Hot dogs, a garden salad with french dressing and orange juice."
138, 22 November 1995,"2 large pepperoni and sausage pizzas, 3 pints of coffee ice cream, 3 six-packs of Coca Cola."
139, 22 May 2001,"Grouper, French fries, chef salad with tomato, blue cheese dressing, Coca Cola, Boston cream pie."
140, 22 March 2006,"Lobster tail, apple pie, vanilla ice cream and 7UP."
141, 22 June 2007,"1/2 cup turkey/chicken salad, 1/2 cup macaroni salad, 1/2 cup coleslaw, 3 slices of bread, 1 cookie, 1 cup of tea."
142, 22 July 2004,None.
143, 22 July 2003,"Seven beef-and-cheese enchiladas, pico de gallo, two cheeseburgers, fries and two pieces of fried chicken."
144, 22 July 1999,"Fried perch, potato salad, Cole slaw, peaches."
145, 22 January 2009,"Had the regular prison fare of a chicken patty, potatoes and gravy, green beans, marble cake, milk, and fruit punch."
146, 22 January 2009,Ate nothing.
147, 22 January 1992,"Final meal request of fried okra, four buns with lots of butter, lots of salt (lots) and two slices of banana bread."
148, 22 February 2011,"Two fried-chicken breasts, turkey sausage, fried rice, prison-made chocolate-chip cookies and Coca-Cola."
149, 22 February 2007,"Sausage and pepperoni pizza, lasagna, garlic bread, a chef’s salad, New-York-style cheesecake, a strawberry shake and Dr. Pepper."
150, 22 August 2007,"Medium-rare steak cooked with onion and garlic; a baked potato with cream cheese, bacon bits and chives; salad with bleu cheese dressing; Brussels sprouts with jalapeno cheese sauce; apple pie and a 1-liter Pepsi."
151, 22 August 2000,"12 ounce New York strip steak, 1 order of jumbo shrimp, 1 slice of cheesecake."
152, 22 August 1996,"Steak, French fries, salad with Thousand Island dressing."
153, 22 April 2010,"Steak (well done with steak sauce), baked potato with butter and sour cream, rolls and butter, peas, vanilla ice cream."
154, 22 April 1998,"Steak, shrimp, fried mushrooms, fried cheese sticks, grape juice, butter pecan ice cream."
155, 21 September 2011,"Scrambled eggs, toast, milk and coffee."
156, 21 September 2011,No final meal request.
157, 21 October 2010,"Fried chicken breast, white rice, garlic toast, peach cobbler and a Coca-Cola."
158, 21 October 2008,"2 Reuben corn beef sandwiches, French fries."
159, 21 October 1998,"2 orders of butterfly shrimp, 2 orders of French fries, apple pie, chocolate cake, soda."
160, 21 November 2008,"Smothered chicken & rice, pinto beans with salt pork, corn, homemade rolls, pecan pie, pitcher of root beer."
161, 21 June 2007,"Two double cheeseburgers, two large servings of French fries, a half a gallon of vanilla fudge ripple ice cream, and two bottles of Dr. Pepper."
162, 21 June 2000,"Two chicken-fried steaks with white gravy, French fries, 4 pieces of white bread, peaches, two Cokes."
163, 21 July 2010,"Tenderloin, French fries, tossed salad with dressing, orange sherbet, and milk."
164, 21 January 2009,One apple. 
165, 21 January 1998,"Pizza, garlic bread, lettuce salad, Catalina dressing, strawberry cheesecake, coffee, and tea."
166, 21 January 1998,Shrimp and ice cream.
167, 21 August 2009,"Chocolate birthday cake with ""2/23/90"" written on top; 7 pink candles; 1 coconut; kiwi fruit juice, pineapple juice; 1 mango; grapes; lettuce; cottage cheese; peaches; 1 banana; 1 apple; chef salad without meat & with thousand island dressing; fruit salad; cheese; tomato slices."
168, 21 August 2007,"Grilled cheeseburger with onion, pickle and tomatoes, French fries, 3 slices of cheese, pepperoni pizza, 3 pints of vanilla, chocolate and chocolate chip ice cream, 20 ounce Coke, 20 ounce Pepsi, and fruit including an apple, banana and orange. Smoked a lot of cigarettes prior to execution."
169, 21 April 2006,A pack of Pall Malls.
170, 21 April 1992,"Ribeye steak, cooked medium rare with A-1 sauce on the side, hot barbecued chicken wings and onion rings with ketchup, fried mushrooms with marinara sauce, a chef salad with ranch dressing, pecan pie with vanilla ice cream and two types of soda pop."
171, 20 September 2007,Large super supreme pizza and a two-liter bottle of Coke.
172, 20 September 2006,"Sirloin steak, spicy worcestershire sauce, a bacon cheeseburger w/ten slices of bacon, onion rings and fries w/cheese, french dressing, a butterfinger blizzard w/carmel, pecan pie, vanilla ice cream and peach cobbler."
173, 20 October 2011,"Chef salad with Italian dressing, BBQ beef or pork, hot fudge sundae."
174, 20 October 2009,"Fried chicken, mashed potatoes and gravy, corn on the cob, biscuits, Dr Pepper and an apple pie."
175, 20 November 2008,"T-bone steak (well done), tossed salad with French dressing, French fries,  toast, ice tea."
176, 20 November 1997,"Fried chicken, onion rings, French fries, two bowls of peach cobbler, two milk shakes and two glasses of orange juice."
177, 20 May 2010,None.
178, 20 May 2010,"Lasagna, chili-cheese fries, garlic bread, moose-tracks ice cream, chocolate cake, caramel candy, beef jerky, cashews, almonds and root beer."
179, 20 May 2009,No “special meal” request. 
180, 20 June 2007,"Spaghetti with tomato sauce but no meat, salad, chocolate cake and coffee with cream and sugar."
181, 20 July 2010,"A large chef salad with ham, turkey and bacon bits, bleu cheese and ranch dressing, barbecue baby back ribs, two cans of cashews and two bottles of iced tea."
182, 20 July 2006,Fasted until sundown then served a vegetarian meal and several cups of coffee.
183, 20 July 2000,"A porterhouse steak, fried shrimp, barbecued chicken and ribs, a large salad, potato wedges, onion rings, sweet potato pie, chocolate ice cream and Hawaiian Punch to drink."
184, 20 January 2006,"Normal prison dinner of chicken a la king, mashed potatoes and lima beans."
185, 20 January 2000,Requested that final meal not be revealed to the public.
186, 20 January 1999,"Porterhouse steak, pork chops and jumbo fried shrimp."
187, 20 February 2009,"Steak, onion rings with ketchup, a double bacon cheeseburger with french fries, cake, ice cream, potato chips and a two-liter bottle of orange soda. It was reported that he finished most of the meal, but did not touch the steak."
188, 20 August 1998,"After fasting from sunrise to sunset, had a meal of whole and chopped dates and hot tea with lemon and honey. Requested and received olive oil to groom his beard and a ""miswak"" stick (in Islamic tradition, dates are consumed after a fast, and “miswak” for cleaning teeth)."
189, 20 April 2010,"Cheese pizza, onion rings, fried mushrooms, chips with French onion dip, cherry pie, blueberry ice cream and a Dr. Pepper."
190, 20 April 1999,"2 Red Chili Beef burritos, 2 cans Coke Classic, 1 slice cherry pie."
191, 19 October 1999,Last meal menu confidential upon request.
192, 19 October 1995,"Two eggs sunny-side up, fried potatoes, two pieces of fried bologna, four pieces of wheat bread, two pieces of wheat toast with butter, four slices of tomato, a side of lettuce and mayonnaise, two Three Musketeers candy bars and two packages of Reese's Peanut Butter Cups."
193, 19 November 2008,"Well-done porter house steak with steak sauce, a baked potato with sour cream and bacon bits, salad with lettuce, cucumbers, tomatoes, radishes, green peppers, carrots and French dressing, corn on the cob with butter, grapes, macaroni and cheese, dinner rolls and Cool Ranch Doritos with a jar of salsa, strawberry ice cream and strawberry cheesecake—both with real strawberries, a 2-liter of Dr. Pepper with ice and one tea bag."
194, 19 November 1997,Last meal included chicken patties. 
195, 19 May 2010,"T-bone steak with A1 sauce, french fries and onion rings, four eggs over easy, hash browns, buttered toast, bear claw pastries, a pint of Rocky Road ice cream and Mountain Dew."
196, 19 May 2010,"2 baloney and cheese sandwiches with mayonnaise on white bread, orange drink."
197, 19 May 2009,"2 Bacon, lettuce and tomato sandwiches on white bread, Mayonnaise, 4 fried eggs (over-easy), Medium portion of hash-brown potatoes, 2 breakfast rolls, small portion of strawberry jelly, One half pint of pineapple sherbet ice cream, one 22 ounces of hot coffee (black), one medium slice of German chocolate cake with coconut-caramel icing, one 12 ounce cup of cold milk."
198, 19 July 2006,"Cheeseburger with lettuce, tomato, bacon, onion rings, and ketchup."
199, 19 July 1990,"Three t-bone steaks cooked medium rare, two breaded chicken breasts with a side of ranch dressing, chocolate ice cream and Mountain Dew."
200, 19 July 1990,"Ate all of the ""special meal"" of pork chops, gravy, hash browns, biscuits and Pepsi, but saved the cherry pie for breakfast. Awoke at 4:47 a.m., and ate a regular prison breakfast of two hard boiled eggs, Cream of Wheat, grapefruit, toast and orange juice, and the left-over pie."
201, 19 February 2009,Jumbo shrimp; a T-bone steak with A-1 steak sauce; fried chicken wings; french fries; dinner rolls; cherry pie; and Pepsi.
202, 19 February 2002,"Four bacon cheeseburgers on toasted buns, with green peppers, tomatoes, pickles, ketchup, mustard and mayonnaise; a baked potato with butter and sour cream; french fries; onion rings; macaroni and cheese; chef salad with creamy Italian dressing; blueberry pie with chocolate ice cream; iced tea; and a Coke."
203, 19 February 1999,No final meal request.
204, 19 December 2010,God’s word.
205, 19 December 2000,No final meal request because he remained hopeful to the end that he would not be executed.
206, 19 August 2009,"Fish sandwich, fries, Pepsi."
207, 19 August 2004,"Steak (rare), salad, grape pop."
208, 19 August 1997,"Fried fish fillets with red cocktail sauce from Long John Silver's, but abstained from any  side dishes. "
209, 19 April 2000,"A deep dish meat lover’s pizza, deep fried jumbo shrimp and two hush puppies with vinegar sauce. "
210, 19 April 1996,A large pepperoni and Italian sausage pizza and a large Dr. Pepper from Pizza Hut.
211, 19 April 1995,"Spaghetti, salad, strawberry shortcake, pop. "
212, 18 September 2001,"A medium stuffed-crust pizza from Pizza Hut with mushrooms, bell peppers, black olives and jalapenos, a Dr Pepper, coconut cream pie, and a chocolate shake."
213, 18 September 1996,"Sirloin steak, a baked potato, onion rings, a tossed salad and a Coke."
214, 18 October 2006,"Cheeseburger, chili-cheese french fries and a chocolate shake from Chili's restaurant. "
215, 18 October 2006,"T-bone steak, french fries and a large salad."
216, 18 October 2001,"Twenty-four hot bbq chicken wings, two cheeseburgers with everything, four slices of pizza with jalapenos, three slices of buttered toast, one sweet potato pie, sherbert rainbow ice cream and twelve Dr. Pepper/ Big Red."
217, 18 November 2009,Egg and cheese omelette and fresh sliced tomatoes.
218, 18 November 1999,Requested that final meal not be revealed to the public.
219, 18 March 2010,"Porterhouse steak with A-1 sauce, a pound of jumbo fried shrimp with cocktail sauce, french fries and onion rings with ketchup, dinner rolls and butter, two plums, a mango, a pound of seedless white grapes, German chocolate cake, two bottles of Pepsi and two bottles of A&W cream soda."
220, 18 March 2004,"Combination barbecue platter, with chicken, chopped brisket, ribs and hot links, barbecue sauce, a large order baked beans and extra bread."
221, 18 March 2004,Requested seafood. 
222, 18 March 1998,No final meal request.
223, 18 June 1990 ,"Kentucky Fried Chicken (original recipe), potato wedges, baked beans, cole slaw, an apple turnover and a dinner roll."
224, 18 January 2001,"Chicken dinner, potato wedges, apple pie and a Pepsi from Kentucky Fried Chicken."
225, 18 January 2001,"Fish, hushpuppies, chips, French fries, dip & sauce, strawberry malt, strawberry shortcake with whipped cream, and 7-Up."
226, 18 January 2000,"One chicken, two cans of olives, grapes, and one palmagranite."
227, 18 August 2011,"A second final meal request of fried catfish, fried green tomatoes, fried eggplant, hush puppies and sweet tea. (same meal in January when U.S. Supreme Court stopped the execution at the last minute)."
228, 18 August 2009,"Sirloin steak, butterfly shrimp, French fries, corn, rolls, coffee, chocolate shake."
229, 18 August 2006,"1 vanilla malt, 2 large hamburgers, 1 large cheeseburger, 2 orders of fries, 16 ounce Dr. Pepper."
230, 18 April 2002,Had no final meal request.
231, 17 September 2008,"Filet mignon (medium well) with mushrooms, shellfish, baked potato, sour cream, brussel sprouts, salad with Italian dressing, corn on the cob, pistachio ice cream, cannoli."
232, 17 October 1998,"1 chicken taco salad, 1 Mexican pizza, Encharitos, 2 soft tacos, 1order Cinnamon Twists, 1 piece pecan pie, 2 cans of Coca-Cola."
233, 17 November 2009,"2 fried eggs, 4 ounces of Pace hot sauce, 4 strips of bacon, 12 ounce sirloin steak, 10 ounces of French fries, 3 ounces ketchup, 1 pint vanilla ice cream, 1 pint milk, 1 cup hot coffee."
234, 17 November 1999,"Shrimp, fish, oysters, tarter sauce, 32 ounce cream soda, 1 strawberry cheese cake."
235, 17 May 2006,"8 pieces of chicken, hot rolls, and 2 Diet Cokes."
236, 17 March 2006,"2 16 oz. Ribeyes, 1 lb. turkey breast, 12 bacon strips, 2 hamburgers with mayo, onion & lettuce, 2 large baked potatoes, butter, sour cream, cheese, & chives, 4 slices of cheese or 1/2 lb. of grated cheddar cheese, chef salad, blue cheese dressing, 2 corn on the cob, 1 pt. mint chocolate chip ice cream, 4 vanilla Cokes or Mr. Pibb (served ground beef instead of steak)."
237, 17 June 2010,"2 chicken patties with Swiss cheese, stuffed baked potato with jalapeno peppers, sour cream, milk."
238, 17 July 2004,"Chicken fried steak, baked potato stuffed with ground meat, cheese, jalapenos, large order of french fries, ketchup, 10 Cheese sticks, pitcher of grape juice, cheesecake with cherry topping."
